"time","value_steps","userid","value_hr"
2019-01-15 00:00:00,0,"cf518ed4-ed66-449d-a8ca-14cee26e80a9",87.2857142857143
2019-01-15 00:01:00,0,"cf518ed4-ed66-449d-a8ca-14cee26e80a9",86.5
2019-01-15 00:02:00,0,"cf518ed4-ed66-449d-a8ca-14cee26e80a9",86.6666666666667
2019-01-15 00:03:00,0,"cf518ed4-ed66-449d-a8ca-14cee26e80a9",86.3333333333333
2019-01-15 00:04:00,0,"cf518ed4-ed66-449d-a8ca-14cee26e80a9",87.2857142857143
2019-01-15 00:05:00,0,"cf518ed4-ed66-449d-a8ca-14cee26e80a9",87.4
2019-01-15 00:06:00,6,"cf518ed4-ed66-449d-a8ca-14cee26e80a9",101.888888888889
2019-01-15 00:07:00,0,"cf518ed4-ed66-449d-a8ca-14cee26e80a9",84.8333333333333
2019-01-15 00:08:00,0,"cf518ed4-ed66-449d-a8ca-14cee26e80a9",83
2019-01-15 00:09:00,0,"cf518ed4-ed66-449d-a8ca-14cee26e80a9",85.3333333333333
2019-01-15 00:10:00,0,"cf518ed4-ed66-449d-a8ca-14cee26e80a9",94.4
2019-01-15 00:11:00,0,"cf518ed4-ed66-449d-a8ca-14cee26e80a9",93.8888888888889
2019-01-15 00:12:00,0,"cf518ed4-ed66-449d-a8ca-14cee26e80a9",87.6666666666667
2019-01-15 00:13:00,0,"cf518ed4-ed66-449d-a8ca-14cee26e80a9",88.1
2019-01-15 00:14:00,0,"cf518ed4-ed66-449d-a8ca-14cee26e80a9",92.375
2019-01-15 00:15:00,0,"cf518ed4-ed66-449d-a8ca-14cee26e80a9",94
2019-01-15 00:16:00,0,"cf518ed4-ed66-449d-a8ca-14cee26e80a9",NA
2019-01-15 00:17:00,0,"cf518ed4-ed66-449d-a8ca-14cee26e80a9",NA
2019-01-15 00:18:00,0,"cf518ed4-ed66-449d-a8ca-14cee26e80a9",NA
2019-01-15 00:19:00,0,"cf518ed4-ed66-449d-a8ca-14cee26e80a9",NA
2019-01-15 00:20:00,0,"cf518ed4-ed66-449d-a8ca-14cee26e80a9",NA
2019-01-15 00:21:00,0,"cf518ed4-ed66-449d-a8ca-14cee26e80a9",NA
2019-01-15 00:22:00,0,"cf518ed4-ed66-449d-a8ca-14cee26e80a9",NA
2019-01-15 00:23:00,0,"cf518ed4-ed66-449d-a8ca-14cee26e80a9",94.8333333333333
2019-01-15 00:24:00,0,"cf518ed4-ed66-449d-a8ca-14cee26e80a9",98.625
2019-01-15 00:25:00,0,"cf518ed4-ed66-449d-a8ca-14cee26e80a9",86.3636363636364
2019-01-15 00:26:00,0,"cf518ed4-ed66-449d-a8ca-14cee26e80a9",85.1111111111111
2019-01-15 00:27:00,0,"cf518ed4-ed66-449d-a8ca-14cee26e80a9",86.5714285714286
2019-01-15 00:28:00,0,"cf518ed4-ed66-449d-a8ca-14cee26e80a9",89.3333333333333
2019-01-15 00:29:00,0,"cf518ed4-ed66-449d-a8ca-14cee26e80a9",88.7
2019-01-15 00:30:00,0,"cf518ed4-ed66-449d-a8ca-14cee26e80a9",87.5714285714286
2019-01-15 00:31:00,0,"cf518ed4-ed66-449d-a8ca-14cee26e80a9",90.375
2019-01-15 00:32:00,0,"cf518ed4-ed66-449d-a8ca-14cee26e80a9",88.5
2019-01-15 00:33:00,0,"cf518ed4-ed66-449d-a8ca-14cee26e80a9",90.2857142857143
2019-01-15 00:34:00,0,"cf518ed4-ed66-449d-a8ca-14cee26e80a9",88.2
2019-01-15 00:35:00,0,"cf518ed4-ed66-449d-a8ca-14cee26e80a9",90.375
2019-01-15 00:36:00,0,"cf518ed4-ed66-449d-a8ca-14cee26e80a9",95.5
