"time","value","userid"
2019-01-10 00:08:40,46,"cf518ed4-ed66-449d-a8ca-14cee26e80a9"
2019-01-10 00:08:45,46,"cf518ed4-ed66-449d-a8ca-14cee26e80a9"
2019-01-10 00:09:00,46,"cf518ed4-ed66-449d-a8ca-14cee26e80a9"
2019-01-10 00:09:15,46,"cf518ed4-ed66-449d-a8ca-14cee26e80a9"
2019-01-10 00:09:25,46,"cf518ed4-ed66-449d-a8ca-14cee26e80a9"
2019-01-10 00:09:30,46,"cf518ed4-ed66-449d-a8ca-14cee26e80a9"
2019-01-10 00:09:45,46,"cf518ed4-ed66-449d-a8ca-14cee26e80a9"
2019-01-10 00:09:50,47,"cf518ed4-ed66-449d-a8ca-14cee26e80a9"
2019-01-10 00:09:55,46,"cf518ed4-ed66-449d-a8ca-14cee26e80a9"
2019-01-10 00:10:10,46,"cf518ed4-ed66-449d-a8ca-14cee26e80a9"
2019-01-10 00:10:20,47,"cf518ed4-ed66-449d-a8ca-14cee26e80a9"
2019-01-10 00:10:25,46,"cf518ed4-ed66-449d-a8ca-14cee26e80a9"
2019-01-10 00:10:35,46,"cf518ed4-ed66-449d-a8ca-14cee26e80a9"
2019-01-10 00:10:40,46,"cf518ed4-ed66-449d-a8ca-14cee26e80a9"
2019-01-10 00:10:50,46,"cf518ed4-ed66-449d-a8ca-14cee26e80a9"
2019-01-10 00:10:55,46,"cf518ed4-ed66-449d-a8ca-14cee26e80a9"
2019-01-10 00:11:00,46,"cf518ed4-ed66-449d-a8ca-14cee26e80a9"
2019-01-10 00:11:05,46,"cf518ed4-ed66-449d-a8ca-14cee26e80a9"
2019-01-10 00:11:20,47,"cf518ed4-ed66-449d-a8ca-14cee26e80a9"
2019-01-10 00:11:25,46,"cf518ed4-ed66-449d-a8ca-14cee26e80a9"
2019-01-10 00:11:30,46,"cf518ed4-ed66-449d-a8ca-14cee26e80a9"
2019-01-10 00:11:35,48,"cf518ed4-ed66-449d-a8ca-14cee26e80a9"
2019-01-10 00:11:45,47,"cf518ed4-ed66-449d-a8ca-14cee26e80a9"
2019-01-10 00:11:55,49,"cf518ed4-ed66-449d-a8ca-14cee26e80a9"
2019-01-10 00:12:00,48,"cf518ed4-ed66-449d-a8ca-14cee26e80a9"
2019-01-10 00:12:05,49,"cf518ed4-ed66-449d-a8ca-14cee26e80a9"
2019-01-10 00:12:11,49,"cf518ed4-ed66-449d-a8ca-14cee26e80a9"
2019-01-10 00:12:16,48,"cf518ed4-ed66-449d-a8ca-14cee26e80a9"
2019-01-10 00:12:31,48,"cf518ed4-ed66-449d-a8ca-14cee26e80a9"
2019-01-10 00:12:36,48,"cf518ed4-ed66-449d-a8ca-14cee26e80a9"
2019-01-10 00:12:41,48,"cf518ed4-ed66-449d-a8ca-14cee26e80a9"
2019-01-10 00:12:46,47,"cf518ed4-ed66-449d-a8ca-14cee26e80a9"
2019-01-10 00:12:51,47,"cf518ed4-ed66-449d-a8ca-14cee26e80a9"
2019-01-10 00:12:56,48,"cf518ed4-ed66-449d-a8ca-14cee26e80a9"
2019-01-10 00:13:01,48,"cf518ed4-ed66-449d-a8ca-14cee26e80a9"
2019-01-10 00:13:06,48,"cf518ed4-ed66-449d-a8ca-14cee26e80a9"
2019-01-10 00:13:11,50,"cf518ed4-ed66-449d-a8ca-14cee26e80a9"
2019-01-10 00:13:26,49,"cf518ed4-ed66-449d-a8ca-14cee26e80a9"
2019-01-10 00:13:31,48,"cf518ed4-ed66-449d-a8ca-14cee26e80a9"
2019-01-10 00:13:36,48,"cf518ed4-ed66-449d-a8ca-14cee26e80a9"
2019-01-10 00:13:41,48,"cf518ed4-ed66-449d-a8ca-14cee26e80a9"
2019-01-10 00:13:46,48,"cf518ed4-ed66-449d-a8ca-14cee26e80a9"
2019-01-10 00:13:51,48,"cf518ed4-ed66-449d-a8ca-14cee26e80a9"
2019-01-10 00:13:56,49,"cf518ed4-ed66-449d-a8ca-14cee26e80a9"
2019-01-10 00:14:06,49,"cf518ed4-ed66-449d-a8ca-14cee26e80a9"
2019-01-10 00:14:11,48,"cf518ed4-ed66-449d-a8ca-14cee26e80a9"
2019-01-10 00:14:16,48,"cf518ed4-ed66-449d-a8ca-14cee26e80a9"
2019-01-10 00:14:26,49,"cf518ed4-ed66-449d-a8ca-14cee26e80a9"
2019-01-10 00:14:41,49,"cf518ed4-ed66-449d-a8ca-14cee26e80a9"
2019-01-10 00:14:46,48,"cf518ed4-ed66-449d-a8ca-14cee26e80a9"
2019-01-10 00:14:56,48,"cf518ed4-ed66-449d-a8ca-14cee26e80a9"
2019-01-10 00:15:01,48,"cf518ed4-ed66-449d-a8ca-14cee26e80a9"
2019-01-10 00:15:11,48,"cf518ed4-ed66-449d-a8ca-14cee26e80a9"
2019-01-10 00:15:18,48,"cf518ed4-ed66-449d-a8ca-14cee26e80a9"
2019-01-10 00:15:23,48,"cf518ed4-ed66-449d-a8ca-14cee26e80a9"
2019-01-10 00:15:33,47,"cf518ed4-ed66-449d-a8ca-14cee26e80a9"
2019-01-10 00:15:38,48,"cf518ed4-ed66-449d-a8ca-14cee26e80a9"
2019-01-10 00:15:43,47,"cf518ed4-ed66-449d-a8ca-14cee26e80a9"
2019-01-10 00:15:58,47,"cf518ed4-ed66-449d-a8ca-14cee26e80a9"
2019-01-10 00:16:13,47,"cf518ed4-ed66-449d-a8ca-14cee26e80a9"
2019-01-10 00:16:28,48,"cf518ed4-ed66-449d-a8ca-14cee26e80a9"
2019-01-10 00:16:33,47,"cf518ed4-ed66-449d-a8ca-14cee26e80a9"
2019-01-10 00:16:43,47,"cf518ed4-ed66-449d-a8ca-14cee26e80a9"
2019-01-10 00:16:48,48,"cf518ed4-ed66-449d-a8ca-14cee26e80a9"
2019-01-10 00:16:53,48,"cf518ed4-ed66-449d-a8ca-14cee26e80a9"
2019-01-10 00:16:58,49,"cf518ed4-ed66-449d-a8ca-14cee26e80a9"
2019-01-10 00:17:03,54,"cf518ed4-ed66-449d-a8ca-14cee26e80a9"
2019-01-10 00:17:08,56,"cf518ed4-ed66-449d-a8ca-14cee26e80a9"
2019-01-10 00:17:13,58,"cf518ed4-ed66-449d-a8ca-14cee26e80a9"
2019-01-10 00:17:18,59,"cf518ed4-ed66-449d-a8ca-14cee26e80a9"
2019-01-10 00:17:23,60,"cf518ed4-ed66-449d-a8ca-14cee26e80a9"
2019-01-10 00:17:38,60,"cf518ed4-ed66-449d-a8ca-14cee26e80a9"
2019-01-10 00:17:48,59,"cf518ed4-ed66-449d-a8ca-14cee26e80a9"
2019-01-10 00:17:53,56,"cf518ed4-ed66-449d-a8ca-14cee26e80a9"
2019-01-10 00:18:03,55,"cf518ed4-ed66-449d-a8ca-14cee26e80a9"
2019-01-10 00:18:13,57,"cf518ed4-ed66-449d-a8ca-14cee26e80a9"
2019-01-10 00:18:18,59,"cf518ed4-ed66-449d-a8ca-14cee26e80a9"
2019-01-10 00:18:23,58,"cf518ed4-ed66-449d-a8ca-14cee26e80a9"
2019-01-10 00:18:28,57,"cf518ed4-ed66-449d-a8ca-14cee26e80a9"
2019-01-10 00:18:33,56,"cf518ed4-ed66-449d-a8ca-14cee26e80a9"
2019-01-10 00:18:40,55,"cf518ed4-ed66-449d-a8ca-14cee26e80a9"
2019-01-10 00:18:45,54,"cf518ed4-ed66-449d-a8ca-14cee26e80a9"
2019-01-10 00:18:55,53,"cf518ed4-ed66-449d-a8ca-14cee26e80a9"
2019-01-10 00:19:10,53,"cf518ed4-ed66-449d-a8ca-14cee26e80a9"
2019-01-10 00:19:15,53,"cf518ed4-ed66-449d-a8ca-14cee26e80a9"
2019-01-10 00:19:20,53,"cf518ed4-ed66-449d-a8ca-14cee26e80a9"
2019-01-10 00:19:35,52,"cf518ed4-ed66-449d-a8ca-14cee26e80a9"
2019-01-10 00:19:50,52,"cf518ed4-ed66-449d-a8ca-14cee26e80a9"
2019-01-10 00:20:05,52,"cf518ed4-ed66-449d-a8ca-14cee26e80a9"
2019-01-10 00:20:10,51,"cf518ed4-ed66-449d-a8ca-14cee26e80a9"
2019-01-10 00:20:20,50,"cf518ed4-ed66-449d-a8ca-14cee26e80a9"
